Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Bundesliga,17/09/2022,14:30,Dortmund,Schalke 04,1,0,H,1.42,5.04,7.02
2022/2023,Bundesliga,17/09/2022,14:30,Leverkusen,Werder Bremen,1,1,D,1.62,4.46,4.94
2022/2023,Bundesliga,17/09/2022,14:30,Stuttgart,Ein Frankfurt,1,3,A,2.55,3.32,2.84
2022/2023,Bundesliga,17/09/2022,17:30,M'gladbach,RB Leipzig,3,0,H,3.1,3.62,2.26
2022/2023,Bundesliga,18/09/2022,14:30,Union Berlin,Wolfsburg,2,0,H,2.08,3.35,3.81
2022/2023,Bundesliga,18/09/2022,16:30,Bochum,FC Koln,1,1,D,3.35,3.74,2.1
2022/2023,Bundesliga,18/09/2022,18:30,Hoffenheim,Freiburg,0,0,D,2.2,3.59,3.24
2022/2023,Bundesliga,30/09/2022,19:30,Bayern Munich,Leverkusen,4,0,H,1.36,5.91,7.25
2022/2023,Bundesliga,01/10/2022,14:30,Ein Frankfurt,Union Berlin,2,0,H,2.41,3.34,3.03
2022/2023,Bundesliga,01/10/2022,14:30,FC Koln,Dortmund,3,2,H,3.1,3.75,2.19
2022/2023,Bundesliga,01/10/2022,14:30,Freiburg,Mainz,2,1,H,2.16,3.47,3.41
2022/2023,Bundesliga,01/10/2022,14:30,RB Leipzig,Bochum,4,0,H,1.26,6.42,10.6
2022/2023,Bundesliga,01/10/2022,14:30,Wolfsburg,Stuttgart,3,2,H,2.52,3.3,2.91
2022/2023,Bundesliga,01/10/2022,17:30,Werder Bremen,M'gladbach,5,1,H,2.62,3.8,2.5
2022/2023,Bundesliga,02/10/2022,14:30,Hertha,Hoffenheim,1,1,D,2.92,3.6,2.36
2022/2023,Bundesliga,02/10/2022,16:30,Schalke 04,Augsburg,2,3,A,1.93,3.72,3.88
2022/2023,Bundesliga,07/10/2022,19:30,Hoffenheim,Werder Bremen,1,2,A,1.96,3.92,3.56
2022/2023,Bundesliga,08/10/2022,14:30,Augsburg,Wolfsburg,1,1,D,2.84,3.42,2.52
2022/2023,Bundesliga,08/10/2022,14:30,Bochum,Ein Frankfurt,3,0,H,3.88,3.76,1.93
2022/2023,Bundesliga,08/10/2022,14:30,Leverkusen,Schalke 04,4,0,H,1.4,5.14,7.34
2022/2023,Bundesliga,08/10/2022,14:30,Mainz,RB Leipzig,1,1,D,3.19,3.58,2.23
2022/2023,Bundesliga,08/10/2022,17:30,Dortmund,Bayern Munich,2,2,D,4.18,4.43,1.73
2022/2023,Bundesliga,09/10/2022,14:30,M'gladbach,FC Koln,5,2,H,2.06,3.8,3.4
2022/2023,Bundesliga,09/10/2022,16:30,Hertha,Freiburg,2,2,D,3.18,3.42,2.3
2022/2023,Bundesliga,09/10/2022,18:30,Stuttgart,Union Berlin,0,1,A,2.84,3.03,2.78
2022/2023,Bundesliga,14/10/2022,19:30,Schalke 04,Hoffenheim,0,3,A,3.5,3.73,2.05
2022/2023,Bundesliga,15/10/2022,14:30,Ein Frankfurt,Leverkusen,5,1,H,2.55,3.53,2.72
2022/2023,Bundesliga,15/10/2022,14:30,Stuttgart,Bochum,4,1,H,1.72,3.92,4.79
2022/2023,Bundesliga,15/10/2022,14:30,Werder Bremen,Mainz,0,2,A,2.24,3.59,3.15
2022/2023,Bundesliga,15/10/2022,14:30,Wolfsburg,M'gladbach,2,2,D,2.91,3.59,2.37
2022/2023,Bundesliga,15/10/2022,17:30,RB Leipzig,Hertha,3,2,H,1.47,4.77,6.51
2022/2023,Bundesliga,16/10/2022,14:30,FC Koln,Augsburg,3,2,H,1.63,4.33,5.01
2022/2023,Bundesliga,16/10/2022,16:30,Union Berlin,Dortmund,2,0,H,2.96,3.28,2.5
2022/2023,Bundesliga,16/10/2022,18:30,Bayern Munich,Freiburg,5,0,H,1.44,5.18,6.42
2022/2023,Bundesliga,21/10/2022,19:30,Mainz,FC Koln,5,0,H,2.1,3.58,3.49
2022/2023,Bundesliga,22/10/2022,14:30,Augsburg,RB Leipzig,3,3,D,4.91,4.23,1.65
2022/2023,Bundesliga,22/10/2022,14:30,Dortmund,Stuttgart,5,0,H,1.57,4.44,5.55
2022/2023,Bundesliga,22/10/2022,14:30,Freiburg,Werder Bremen,2,0,H,1.96,3.76,3.73
2022/2023,Bundesliga,22/10/2022,14:30,Hoffenheim,Bayern Munich,0,2,A,5.1,4.67,1.59
2022/2023,Bundesliga,22/10/2022,14:30,Leverkusen,Wolfsburg,2,2,D,1.79,3.94,4.34
2022/2023,Bundesliga,22/10/2022,17:30,M'gladbach,Ein Frankfurt,1,3,A,2.65,3.67,2.55
2022/2023,Bundesliga,23/10/2022,14:30,Bochum,Union Berlin,2,1,H,4.75,3.46,1.85
2022/2023,Bundesliga,23/10/2022,16:30,Hertha,Schalke 04,2,1,H,1.77,3.94,4.47
2022/2023,Bundesliga,28/10/2022,19:30,Werder Bremen,Hertha,1,0,H,2.08,3.82,3.34
2022/2023,Bundesliga,29/10/2022,14:30,Bayern Munich,Mainz,6,2,H,1.22,7.24,11.54
2022/2023,Bundesliga,29/10/2022,14:30,RB Leipzig,Leverkusen,2,0,H,1.69,4.15,4.78
2022/2023,Bundesliga,29/10/2022,14:30,Stuttgart,Augsburg,2,1,H,1.58,4.38,5.55
2022/2023,Bundesliga,29/10/2022,14:30,Wolfsburg,Bochum,4,0,H,1.78,3.91,4.44
2022/2023,Bundesliga,29/10/2022,17:30,Ein Frankfurt,Dortmund,1,2,A,2.66,3.68,2.53
2022/2023,Bundesliga,30/10/2022,14:30,Union Berlin,M'gladbach,2,1,H,1.94,3.52,4.13
2022/2023,Bundesliga,30/10/2022,16:30,Schalke 04,Freiburg,0,2,A,4.16,3.7,1.87
2022/2023,Bundesliga,30/10/2022,18:30,FC Koln,Hoffenheim,1,1,D,3.22,3.64,2.19
2022/2023,Bundesliga,04/11/2022,19:30,M'gladbach,Stuttgart,3,1,H,2.25,3.73,3.05
2022/2023,Bundesliga,05/11/2022,14:30,Augsburg,Ein Frankfurt,1,2,A,4.31,4.08,1.76
2022/2023,Bundesliga,05/11/2022,14:30,Dortmund,Bochum,3,0,H,1.26,6.26,10.83
2022/2023,Bundesliga,05/11/2022,14:30,Hertha,Bayern Munich,2,3,A,10.1,6.57,1.26
2022/2023,Bundesliga,05/11/2022,14:30,Hoffenheim,RB Leipzig,1,3,A,2.77,3.65,2.45
2022/2023,Bundesliga,05/11/2022,14:30,Mainz,Wolfsburg,0,3,A,2.02,3.59,3.72
