Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,2. Bundesliga,15/07/2022,19:30,Kaiserslautern,Hannover,2,1,H,2.47,3.37,2.82
2022/2023,2. Bundesliga,16/07/2022,12:00,Greuther Furth,Holstein Kiel,2,2,D,2.16,3.48,3.23
2022/2023,2. Bundesliga,16/07/2022,12:00,Regensburg,Darmstadt,2,0,H,3.31,3.76,2.04
2022/2023,2. Bundesliga,16/07/2022,12:00,Sandhausen,Bielefeld,2,1,H,2.78,3.23,2.55
2022/2023,2. Bundesliga,16/07/2022,12:00,St Pauli,Nurnberg,3,2,H,2.52,3.45,2.69
2022/2023,2. Bundesliga,16/07/2022,19:30,Magdeburg,Fortuna Dusseldorf,1,2,A,2.33,3.62,2.83
2022/2023,2. Bundesliga,17/07/2022,12:30,Braunschweig,Hamburg,0,2,A,4.62,3.85,1.72
2022/2023,2. Bundesliga,17/07/2022,12:30,Hansa Rostock,Heidenheim,0,1,A,2.37,3.31,2.99
2022/2023,2. Bundesliga,17/07/2022,12:30,Paderborn,Karlsruhe,5,0,H,1.72,3.98,4.39
2022/2023,2. Bundesliga,22/07/2022,17:30,Darmstadt,Sandhausen,2,1,H,1.8,3.83,4.13
2022/2023,2. Bundesliga,22/07/2022,17:30,Fortuna Dusseldorf,Paderborn,2,1,H,2.23,3.63,2.98
2022/2023,2. Bundesliga,23/07/2022,12:00,Heidenheim,Braunschweig,3,0,H,2.06,3.41,3.56
2022/2023,2. Bundesliga,23/07/2022,12:00,Holstein Kiel,Kaiserslautern,2,2,D,2.33,3.45,2.95
2022/2023,2. Bundesliga,23/07/2022,12:00,Nurnberg,Greuther Furth,2,0,H,2.74,3.5,2.47
2022/2023,2. Bundesliga,23/07/2022,19:30,Hannover,St Pauli,2,2,D,2.28,3.61,2.93
2022/2023,2. Bundesliga,24/07/2022,12:30,Bielefeld,Regensburg,0,3,A,2.14,3.47,3.34
2022/2023,2. Bundesliga,24/07/2022,12:30,Hamburg,Hansa Rostock,0,1,A,1.54,4.27,5.68
2022/2023,2. Bundesliga,24/07/2022,12:30,Karlsruhe,Magdeburg,2,3,A,2.73,3.58,2.42
2022/2023,2. Bundesliga,05/08/2022,17:30,Greuther Furth,Karlsruhe,1,1,D,1.93,3.85,3.57
2022/2023,2. Bundesliga,05/08/2022,17:30,Sandhausen,Fortuna Dusseldorf,1,0,H,3.16,3.35,2.26
2022/2023,2. Bundesliga,06/08/2022,12:00,Hamburg,Heidenheim,1,0,H,1.72,3.98,4.4
2022/2023,2. Bundesliga,06/08/2022,12:00,Paderborn,Hannover,4,2,H,1.99,3.82,3.4
2022/2023,2. Bundesliga,06/08/2022,12:00,Regensburg,Nurnberg,0,0,D,2.6,3.43,2.6
2022/2023,2. Bundesliga,06/08/2022,19:30,Hansa Rostock,Bielefeld,2,1,H,2.35,3.29,3.02
2022/2023,2. Bundesliga,07/08/2022,12:30,Braunschweig,Darmstadt,0,1,A,3.34,3.65,2.07
2022/2023,2. Bundesliga,07/08/2022,12:30,Kaiserslautern,St Pauli,2,1,H,2.3,3.61,2.89
2022/2023,2. Bundesliga,07/08/2022,12:30,Magdeburg,Holstein Kiel,1,2,A,1.98,3.93,3.34
2022/2023,2. Bundesliga,12/08/2022,17:30,Kaiserslautern,Paderborn,0,1,A,2.75,3.62,2.41
2022/2023,2. Bundesliga,12/08/2022,17:30,Nurnberg,Heidenheim,0,3,A,1.94,3.62,3.72
2022/2023,2. Bundesliga,13/08/2022,12:00,Bielefeld,Hamburg,0,2,A,3.28,3.7,2.06
2022/2023,2. Bundesliga,13/08/2022,12:00,Holstein Kiel,Braunschweig,3,0,H,2.1,3.63,3.27
2022/2023,2. Bundesliga,13/08/2022,12:00,Karlsruhe,Sandhausen,3,2,H,2.42,3.41,2.84
2022/2023,2. Bundesliga,13/08/2022,19:30,Darmstadt,Hansa Rostock,4,0,H,1.59,4.16,5.22
2022/2023,2. Bundesliga,14/08/2022,12:30,Fortuna Dusseldorf,Greuther Furth,2,2,D,2.01,3.63,3.5
2022/2023,2. Bundesliga,14/08/2022,12:30,Hannover,Regensburg,1,0,H,2.05,3.69,3.35
2022/2023,2. Bundesliga,14/08/2022,12:30,St Pauli,Magdeburg,3,0,H,1.68,4.33,4.33
2022/2023,2. Bundesliga,19/08/2022,17:30,Hamburg,Darmstadt,1,2,A,2.17,3.69,3.05
2022/2023,2. Bundesliga,19/08/2022,17:30,Magdeburg,Hannover,0,4,A,2.48,3.69,2.6
2022/2023,2. Bundesliga,20/08/2022,12:00,Paderborn,Holstein Kiel,7,2,H,1.63,4.46,4.48
2022/2023,2. Bundesliga,20/08/2022,12:00,Regensburg,Karlsruhe,0,6,A,2.26,3.53,3
2022/2023,2. Bundesliga,20/08/2022,12:00,Sandhausen,Nurnberg,1,2,A,2.54,3.37,2.71
2022/2023,2. Bundesliga,20/08/2022,19:30,Braunschweig,Fortuna Dusseldorf,2,2,D,3.45,3.61,2.03
2022/2023,2. Bundesliga,21/08/2022,12:30,Greuther Furth,Kaiserslautern,1,3,A,2.25,3.39,3.14
2022/2023,2. Bundesliga,21/08/2022,12:30,Hansa Rostock,St Pauli,2,0,H,2.64,3.49,2.54
2022/2023,2. Bundesliga,21/08/2022,12:30,Heidenheim,Bielefeld,1,1,D,1.74,3.85,4.5
2022/2023,2. Bundesliga,26/08/2022,17:30,Bielefeld,Braunschweig,4,1,H,2.03,3.62,3.47
2022/2023,2. Bundesliga,26/08/2022,17:30,Fortuna Dusseldorf,Regensburg,4,0,H,1.67,3.98,4.81
2022/2023,2. Bundesliga,27/08/2022,12:00,Darmstadt,Heidenheim,2,2,D,1.82,3.84,4.01
2022/2023,2. Bundesliga,27/08/2022,12:00,Karlsruhe,Hansa Rostock,2,0,H,2.09,3.54,3.35
2022/2023,2. Bundesliga,27/08/2022,12:00,St Pauli,Paderborn,2,2,D,2.61,3.87,2.39
2022/2023,2. Bundesliga,27/08/2022,19:30,Nurnberg,Hamburg,0,2,A,3.19,3.61,2.13
2022/2023,2. Bundesliga,28/08/2022,12:30,Hannover,Greuther Furth,2,1,H,2.17,3.55,3.15
2022/2023,2. Bundesliga,28/08/2022,12:30,Holstein Kiel,Sandhausen,1,0,H,1.91,3.72,3.71
2022/2023,2. Bundesliga,28/08/2022,12:30,Kaiserslautern,Magdeburg,4,4,D,1.69,4.15,4.41
2022/2023,2. Bundesliga,02/09/2022,17:30,Braunschweig,Nurnberg,4,2,H,2.77,3.47,2.44
2022/2023,2. Bundesliga,02/09/2022,17:30,Heidenheim,Fortuna Dusseldorf,2,1,H,2.56,3.35,2.71
2022/2023,2. Bundesliga,03/09/2022,12:00,Greuther Furth,St Pauli,2,2,D,2.36,3.5,2.85
2022/2023,2. Bundesliga,03/09/2022,12:00,Paderborn,Magdeburg,1,0,H,1.45,5.09,5.78
2022/2023,2. Bundesliga,03/09/2022,12:00,Regensburg,Holstein Kiel,0,0,D,2.7,3.4,2.54
2022/2023,2. Bundesliga,03/09/2022,19:30,Hamburg,Karlsruhe,1,0,H,1.73,4.05,4.27
2022/2023,2. Bundesliga,04/09/2022,12:30,Darmstadt,Bielefeld,1,1,D,1.55,4.42,5.33
2022/2023,2. Bundesliga,04/09/2022,12:30,Hansa Rostock,Hannover,0,1,A,2.53,3.37,2.73
2022/2023,2. Bundesliga,04/09/2022,12:30,Sandhausen,Kaiserslautern,0,0,D,3.06,3.28,2.34
2022/2023,2. Bundesliga,09/09/2022,17:30,Holstein Kiel,Hamburg,2,3,A,3.53,3.69,1.98
2022/2023,2. Bundesliga,09/09/2022,17:30,Nurnberg,Bielefeld,1,0,H,2.29,3.44,3.02
2022/2023,2. Bundesliga,10/09/2022,12:00,Hannover,Braunschweig,1,1,D,1.94,3.7,3.65
