Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,Primeira Liga,17/09/2022,15:30,Santa Clara,Pacos Ferreira,1,1,D,1.84,3.33,4.67
2022/2023,Primeira Liga,17/09/2022,18:00,Estoril,Porto,1,1,D,8.79,4.8,1.36
2022/2023,Primeira Liga,17/09/2022,20:30,Boavista,Sp Lisbon,2,1,H,7.42,4.46,1.43
2022/2023,Primeira Liga,18/09/2022,15:30,Arouca,Guimaraes,2,2,D,2.92,3.07,2.57
2022/2023,Primeira Liga,18/09/2022,18:00,Benfica,Maritimo,5,0,H,1.11,9.07,21.05
2022/2023,Primeira Liga,18/09/2022,18:00,Casa Pia,Famalicao,1,0,H,2.36,3.01,3.26
2022/2023,Primeira Liga,18/09/2022,20:30,Sp Braga,Vizela,2,0,H,1.4,4.88,7.18
2022/2023,Primeira Liga,30/09/2022,19:00,Sp Lisbon,Gil Vicente,3,1,H,1.3,5.39,9.58
2022/2023,Primeira Liga,30/09/2022,21:15,Porto,Sp Braga,4,1,H,1.91,3.65,3.78
2022/2023,Primeira Liga,01/10/2022,15:30,Vizela,Portimonense,1,0,H,1.92,3.45,4
2022/2023,Primeira Liga,01/10/2022,18:00,Chaves,Estoril,1,1,D,2.21,3.25,3.36
2022/2023,Primeira Liga,01/10/2022,20:30,Guimaraes,Benfica,0,0,D,9.09,5.39,1.31
2022/2023,Primeira Liga,02/10/2022,15:30,Rio Ave,Santa Clara,1,0,H,2.38,3.01,3.27
2022/2023,Primeira Liga,02/10/2022,18:00,Pacos Ferreira,Arouca,1,1,D,2.55,3.17,2.85
2022/2023,Primeira Liga,02/10/2022,20:30,Famalicao,Boavista,4,0,H,2.11,3.14,3.8
2022/2023,Primeira Liga,03/10/2022,20:15,Maritimo,Casa Pia,1,2,A,3.07,3.1,2.44
2022/2023,Primeira Liga,07/10/2022,20:15,Gil Vicente,Estoril,0,1,A,2.19,3.4,3.24
2022/2023,Primeira Liga,08/10/2022,15:30,Santa Clara,Sp Lisbon,1,2,A,7.15,4.38,1.45
2022/2023,Primeira Liga,08/10/2022,18:00,Benfica,Rio Ave,4,2,H,1.19,6.82,14.33
2022/2023,Primeira Liga,08/10/2022,18:00,Portimonense,Porto,0,2,A,8.32,4.88,1.36
2022/2023,Primeira Liga,08/10/2022,20:30,Pacos Ferreira,Guimaraes,0,1,A,3.41,3.24,2.17
2022/2023,Primeira Liga,09/10/2022,15:30,Boavista,Maritimo,1,1,D,1.81,3.53,4.54
2022/2023,Primeira Liga,09/10/2022,18:00,Casa Pia,Vizela,0,1,A,2.45,3.17,2.98
2022/2023,Primeira Liga,09/10/2022,20:30,Sp Braga,Chaves,0,1,A,1.39,5,7.19
2022/2023,Primeira Liga,10/10/2022,20:15,Arouca,Famalicao,4,1,H,2.87,3.08,2.59
2022/2023,Primeira Liga,21/10/2022,20:15,Porto,Benfica,0,1,A,2.35,3.27,3.08
2022/2023,Primeira Liga,22/10/2022,15:30,Famalicao,Pacos Ferreira,2,1,H,1.88,3.35,4.36
2022/2023,Primeira Liga,22/10/2022,18:00,Estoril,Sp Braga,0,2,A,5.42,3.99,1.6
2022/2023,Primeira Liga,22/10/2022,20:30,Sp Lisbon,Casa Pia,3,1,H,1.39,4.71,7.96
2022/2023,Primeira Liga,23/10/2022,15:30,Maritimo,Arouca,1,1,D,2.44,3.25,2.93
2022/2023,Primeira Liga,23/10/2022,15:30,Vizela,Santa Clara,0,1,A,1.99,3.32,3.92
2022/2023,Primeira Liga,23/10/2022,18:00,Chaves,Gil Vicente,3,1,H,2.6,3.32,2.68
2022/2023,Primeira Liga,23/10/2022,20:30,Guimaraes,Boavista,3,2,H,2.19,3.11,3.55
2022/2023,Primeira Liga,24/10/2022,20:15,Rio Ave,Portimonense,1,0,H,2.34,3.21,3.12
2022/2023,Primeira Liga,28/10/2022,20:15,Pacos Ferreira,Maritimo,0,1,A,2.3,3.27,3.16
2022/2023,Primeira Liga,29/10/2022,15:30,Santa Clara,Porto,1,1,D,10.49,5.13,1.3
2022/2023,Primeira Liga,29/10/2022,18:00,Benfica,Chaves,5,0,H,1.11,9.32,20.55
2022/2023,Primeira Liga,29/10/2022,20:30,Arouca,Sp Lisbon,1,0,H,4.81,3.87,1.69
2022/2023,Primeira Liga,30/10/2022,15:30,Boavista,Vizela,2,2,D,2.75,3.22,2.61
2022/2023,Primeira Liga,30/10/2022,15:30,Portimonense,Estoril,1,1,D,2.43,3.18,3
2022/2023,Primeira Liga,30/10/2022,18:00,Casa Pia,Rio Ave,1,0,H,2.05,3.27,3.78
2022/2023,Primeira Liga,30/10/2022,20:30,Gil Vicente,Sp Braga,0,1,A,5.6,4.26,1.55
2022/2023,Primeira Liga,31/10/2022,20:15,Guimaraes,Famalicao,3,2,H,2.38,3.11,3.17
2022/2023,Primeira Liga,04/11/2022,20:15,Gil Vicente,Portimonense,1,2,A,2.19,3.35,3.31
2022/2023,Primeira Liga,05/11/2022,15:30,Vizela,Arouca,0,1,A,2.04,3.3,3.8
2022/2023,Primeira Liga,05/11/2022,18:00,Porto,Pacos Ferreira,4,0,H,1.11,8.85,21.37
2022/2023,Primeira Liga,05/11/2022,20:30,Sp Lisbon,Guimaraes,3,0,H,1.4,4.73,7.34
2022/2023,Primeira Liga,06/11/2022,15:30,Rio Ave,Boavista,1,0,H,2.45,3.14,3.01
2022/2023,Primeira Liga,06/11/2022,18:00,Maritimo,Famalicao,0,0,D,2.73,3.14,2.68
