fixture_key,competition,season,split,source_date,source_time,source_time_semantics,kickoff_utc,kickoff_utc_status,home_team,away_team,home_goals,away_goals,result,outcome_usage,avg_close_home,avg_close_draw,avg_close_away,close_source_class,open_price_status,goldbet_status,source_row_sha256
c2c5ec8c0a5ff2e76bfe2ea3,Eredivisie,2022/2023,DEVELOPMENT,2022-08-05,19:00,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Heerenveen,Sparta Rotterdam,0,0,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.86,3.53,4.16,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,d7fb506262085c48198b6c0bf0fda8928c08cd811324145fd369495223f5b574
086fb92a61f3384937232253,Eredivisie,2022/2023,DEVELOPMENT,2022-08-06,15:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,For Sittard,Ajax,2,3,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,10.42,6.62,1.24,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,907fa3c13853301c86e91979814e0c6392e02ecd4730802d30bd6e325b41868b
b8f05fce9f31b65181d12f76,Eredivisie,2022/2023,DEVELOPMENT,2022-08-06,17:45,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Cambuur,Excelsior,0,2,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.87,4.03,3.69,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,34e94d1c8946bb2a28d28342924b9219ffc5b9b35d033e88c9ab889a73c6f793
3b9a7ef9921019b58b89275c,Eredivisie,2022/2023,DEVELOPMENT,2022-08-06,19:00,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,PSV Eindhoven,FC Emmen,4,1,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.18,7.33,14.23,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,b2aec337caebf9c3924f37f36d21d2043c3bacf08848b4a45666819580c125a6
f41b94094b107098522e515f,Eredivisie,2022/2023,DEVELOPMENT,2022-08-06,20:00,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Waalwijk,Utrecht,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.8,3.72,1.91,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,2d1dd6c10d40f8fa08763dcad415a0d320fdd0bb3cbbf0387987ecae9c23cdda
12e130eafd6c38a667390c9e,Eredivisie,2022/2023,DEVELOPMENT,2022-08-07,11:15,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Groningen,Volendam,2,2,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.58,4.3,5.31,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,ec38d45a74a437aeb25c13edfa1f6f0656e0cac2beb49dd64054ec5b22d64902
1733e292ffe1a90323530a75,Eredivisie,2022/2023,DEVELOPMENT,2022-08-07,13:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Nijmegen,Twente,0,1,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.14,3.42,2.24,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,824ac49579e0c77ebc64623c4300ab40e922101205e8ab3ae450bedfcde73771
94a1ffb5dca0608ea2acffbe,Eredivisie,2022/2023,DEVELOPMENT,2022-08-07,13:30,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Vitesse,Feyenoord,2,5,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.62,3.74,1.95,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,99e70a33548edcfc08eae72a756aca9157c6f9cd549b1ace42bdb6e34b534e7e
e49019f00552f603959086d7,Eredivisie,2022/2023,DEVELOPMENT,2022-08-07,15:45,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,AZ Alkmaar,Go Ahead Eagles,2,0,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.38,4.72,8.24,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,b29ff6acc7229e48e0c1914e0f0fd55c9c93827be3ad108486f0236143e5022d
7822b7b8b74811de601e7bd5,Eredivisie,2022/2023,DEVELOPMENT,2022-08-12,19:00,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Excelsior,Vitesse,3,1,H,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,3.77,4.07,1.84,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,4d40d34f8b075c4e1c3016bd892c6ae4fd1f1c96eb914aa8e044edd981ef491b
a560cf9a0e0914d72d434c6b,Eredivisie,2022/2023,DEVELOPMENT,2022-08-13,17:45,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,Go Ahead Eagles,PSV Eindhoven,2,5,A,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,6.34,4.64,1.47,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,9d62b0ac9816f6d8655865665715c2df4711148faa12688eb846e2db26c26765
98aebbbfb8961875d9120156,Eredivisie,2022/2023,DEVELOPMENT,2022-08-13,19:00,MATCH_KICKOFF_TIME_TIMEZONE_NOT_STATED_BY_SOURCE,,NOT_VERIFIED_DO_NOT_INFER,FC Emmen,Waalwijk,1,1,D,EVALUATION_ONLY_JOIN_AFTER_PREMATCH_FEATURE_FREEZE,1.91,3.59,3.99,EXTERNAL_HISTORICAL_MARKET_BENCHMARK,NOT_AVAILABLE,NOT_GOLDBET,ebccbf551df00cb11c0bafa3afa6f25b623940d0b58a5aa69f4bc05c163f9903
