Season,League,Date,Time,Home,Away,HG,AG,Res,AvgCH,AvgCD,AvgCA
2022/2023,LaLiga,30/09/2022,20:00,Ath Bilbao,Almeria,4,0,H,1.37,4.94,8.65
2022/2023,LaLiga,01/10/2022,13:00,Cadiz,Villarreal,0,0,D,4.99,3.72,1.74
2022/2023,LaLiga,01/10/2022,15:15,Getafe,Valladolid,2,3,A,2.41,3.05,3.34
2022/2023,LaLiga,01/10/2022,17:30,Sevilla,Ath Madrid,0,2,A,3.28,3.12,2.38
2022/2023,LaLiga,01/10/2022,20:00,Mallorca,Barcelona,0,1,A,9.18,5.12,1.35
2022/2023,LaLiga,02/10/2022,13:00,Espanol,Valencia,2,2,D,2.83,3.22,2.63
2022/2023,LaLiga,02/10/2022,15:15,Celta,Betis,1,0,H,2.41,3.21,3.11
2022/2023,LaLiga,02/10/2022,17:30,Girona,Sociedad,3,5,A,3.32,3.16,2.34
2022/2023,LaLiga,02/10/2022,20:00,Real Madrid,Osasuna,1,1,D,1.37,5.2,8.3
2022/2023,LaLiga,03/10/2022,20:00,Vallecano,Elche,2,1,H,1.56,4.13,6.23
2022/2023,LaLiga,07/10/2022,20:00,Osasuna,Valencia,1,2,A,2.5,3.23,2.98
2022/2023,LaLiga,08/10/2022,13:00,Almeria,Vallecano,3,1,H,3.14,3.24,2.4
2022/2023,LaLiga,08/10/2022,15:15,Ath Madrid,Girona,2,1,H,1.41,4.61,8.41
2022/2023,LaLiga,08/10/2022,17:30,Sevilla,Ath Bilbao,1,1,D,3.34,3.41,2.2
2022/2023,LaLiga,08/10/2022,20:00,Getafe,Real Madrid,0,1,A,7.09,4.48,1.47
2022/2023,LaLiga,09/10/2022,13:00,Valladolid,Betis,0,0,D,2.94,3.47,2.41
2022/2023,LaLiga,09/10/2022,15:15,Cadiz,Espanol,2,2,D,2.92,3.07,2.67
2022/2023,LaLiga,09/10/2022,17:30,Sociedad,Villarreal,1,0,H,2.66,3.31,2.75
2022/2023,LaLiga,09/10/2022,20:00,Barcelona,Celta,1,0,H,1.29,5.94,10.06
2022/2023,LaLiga,10/10/2022,20:00,Elche,Mallorca,1,1,D,2.98,3.05,2.61
2022/2023,LaLiga,14/10/2022,20:00,Vallecano,Getafe,0,0,D,1.95,3.22,4.54
2022/2023,LaLiga,15/10/2022,13:00,Girona,Cadiz,1,1,D,1.95,3.31,4.43
2022/2023,LaLiga,15/10/2022,15:15,Valencia,Elche,2,2,D,1.43,4.73,7.29
2022/2023,LaLiga,15/10/2022,17:30,Mallorca,Sevilla,0,1,A,3.11,2.98,2.59
2022/2023,LaLiga,15/10/2022,20:00,Ath Bilbao,Ath Madrid,0,1,A,2.36,3.19,3.3
2022/2023,LaLiga,16/10/2022,13:00,Celta,Sociedad,1,2,A,2.44,3.12,3.19
2022/2023,LaLiga,16/10/2022,15:15,Real Madrid,Barcelona,3,1,H,2.28,3.74,2.98
2022/2023,LaLiga,16/10/2022,17:30,Espanol,Valladolid,1,0,H,2.03,3.46,3.82
2022/2023,LaLiga,16/10/2022,20:00,Betis,Almeria,3,1,H,1.56,4.18,6.09
2022/2023,LaLiga,17/10/2022,20:00,Villarreal,Osasuna,2,0,H,1.77,3.68,4.82
2022/2023,LaLiga,18/10/2022,18:00,Sevilla,Valencia,1,1,D,2.3,3.32,3.27
2022/2023,LaLiga,18/10/2022,19:00,Getafe,Ath Bilbao,2,2,D,4.88,3.33,1.86
2022/2023,LaLiga,18/10/2022,20:00,Ath Madrid,Vallecano,1,1,D,1.59,3.81,6.61
2022/2023,LaLiga,19/10/2022,18:00,Cadiz,Betis,0,0,D,3.6,3.26,2.19
2022/2023,LaLiga,19/10/2022,18:00,Valladolid,Celta,4,1,H,3.18,3.21,2.4
2022/2023,LaLiga,19/10/2022,19:00,Sociedad,Mallorca,1,0,H,1.55,3.83,7.37
